batch,gen_passage_id,seed_passage_id,novel,meaningful,pragmatic,annotator_id,gen_source,ppl,WQRM_score,ai_likelihood
4,15471_human,15471,0,1,1,26,human,82.10066128920487,8.66585636138916,7.616149054633247e-05
5,15031_olmo1,15031,0,1,1,17,olmo1,270400.6022628869,6.436963081359863,1.0
8,706_olmo2,706,0,1,1,5,olmo2,8579.894211381501,6.618142127990723,1.0
10,13263_olmo2,13263,0,1,1,11,olmo2,12970.464989508186,5.68477725982666,1.0
5,12011_human,12011,0,1,1,1,human,14962.558428331253,8.37365436553955,0.0007745954725477
7,3388_olmo2,3388,0,1,0,24,olmo2,1097.4193412217203,6.783412933349609,1.0
8,706_olmo2,706,0,1,1,15,olmo2,44898.2107236542,6.618142127990723,1.0
4,16204_human,16204,0,1,1,3,human,2857.2757551376385,8.580018997192383,0.0002834531995985
7,14319_olmo2,14319,0,1,1,24,olmo2,10874.923686812825,6.024923801422119,1.0
5,15318_olmo1,15318,0,1,1,1,olmo1,619.5421015964482,6.522613525390625,1.0
8,11601_olmo2,11601,0,1,0,5,olmo2,584389.7653783802,6.544983863830566,1.0
10,12432_human,12432,0,1,1,11,human,2984.3870003521565,8.863977432250977,3.168980280558269e-05
6,8444_olmo2,8444,0,1,1,19,olmo2,664.0784064929833,6.932831287384033,1.0
5,15031_olmo1,15031,0,1,1,4,olmo1,911.902354439804,6.436963081359863,1.0
5,12011_human,12011,0,1,1,17,human,2054.289402905577,8.37365436553955,0.0007745954725477
7,706_human,706,1,1,1,24,human,173187.2176587492,8.824209213256836,0.0002977583143446
5,12838_human,12838,0,1,1,4,human,111123.25095355872,8.597100257873535,3.7087334526909726e-06
3,16204_olmo1,16204,0,1,1,7,olmo1,20947.72582749742,6.994654655456543,1.0
6,4796_human,4796,0,1,1,3,human,3056.991749105559,7.986728668212891,0.013427734375
5,15096_olmo1,15096,0,1,1,1,olmo1,4705.320726623106,7.286531925201416,1.0
4,14248_olmo1,14248,0,1,1,26,olmo1,92303.69918875163,6.540572166442871,1.0
10,3619_human,3619,0,1,1,21,human,82113.44340530231,8.76955509185791,4.3047799004448796e-07
1,18090_olmo1,18090,0,1,0,20,olmo1,23406.54692202437,6.452146530151367,1.0
3,16204_olmo1,16204,0,1,1,23,olmo1,671.2974879892523,6.994654655456543,1.0
7,3388_olmo2,3388,0,1,1,22,olmo2,111838.90728287306,6.783412933349609,1.0
6,8444_olmo2,8444,0,1,1,19,olmo2,22314.45079345997,6.932831287384033,1.0
8,14415_human,14415,0,1,1,5,human,290344.5141015175,8.254592895507812,0.0001300705803765
5,15031_olmo1,15031,0,1,1,4,olmo1,3240.224411530037,6.436963081359863,1.0
7,2421_olmo2,2421,0,1,1,24,olmo2,8177.597199961691,5.708529949188232,1.0
7,2421_olmo2,2421,0,1,1,2,olmo2,127.989459964213,5.708529949188232,1.0
6,12011_olmo2,12011,0,1,1,18,olmo2,524523.7869597233,7.170212268829346,1.0
1,17809_human,17809,0,1,1,20,human,1681.6610807945322,8.75815486907959,2.1523899502224394e-06
8,14062_olmo2,14062,0,1,1,5,olmo2,2908.4525676666344,6.728520393371582,1.0
8,11680_olmo2,11680,0,1,1,5,olmo2,3325.1826682182186,5.7674479484558105,1.0
5,8444_human,8444,0,1,1,17,human,217.94972753983308,8.483384132385254,1.529852549235026e-05
1,18137_human,18137,0,1,1,20,human,280.7973273120069,8.988323211669922,3.32792599995931e-05
7,14062_human,14062,0,1,1,22,human,216000.9255751029,8.620152473449707,0.0001072221332126
2,16897_olmo1,16897,0,1,0,15,olmo1,108477.11299618664,6.122307300567627,1.0
3,16204_olmo1,16204,0,1,1,7,olmo1,47753.04985288067,6.994654655456543,1.0
2,18137_olmo1,18137,0,1,1,10,olmo1,5621.284291897632,4.510998249053955,1.0
3,16316_olmo1,16316,0,1,1,25,olmo1,21257.79733614448,7.247693061828613,1.0
2,17809_olmo1,17809,0,1,0,15,olmo1,2314.231329825246,5.820292472839356,1.0
5,8444_human,8444,0,1,1,17,human,1156.0310973529245,8.483384132385254,1.529852549235026e-05
9,11660_olmo2,11660,0,1,1,23,olmo2,691.2797466676143,5.683884620666504,1.0
1,16897_human,16897,0,1,1,21,human,23518.75855248904,8.509995460510254,0.000136031044854
2,18090_human,18090,0,1,0,13,human,2755.1382007106563,8.725266456604004,0.0068579779730902
10,13263_olmo2,13263,0,1,1,11,olmo2,598124.3441486586,5.68477725982666,1.0
9,15377_human,15377,0,1,1,23,human,1929.4394553399663,8.203763961791992,6.096230612860786e-05
8,14691_olmo2,14691,0,1,1,5,olmo2,15968.88564733656,5.546794414520264,1.0
6,12011_olmo2,12011,0,1,1,18,olmo2,237.46878949753736,7.170212268829346,1.0
8,14319_human,14319,0,1,1,15,human,96668.91584504487,8.155810356140137,0.000305970509847
2,17338_human,17338,0,1,1,10,human,6279.618517530365,8.686922073364258,0.0001105997297498
1,16897_human,16897,0,1,1,21,human,10297.638683565645,8.509995460510254,0.000136031044854
7,11601_human,11601,0,1,1,22,human,2831.3707651566524,8.954913139343262,0.0004466374715169
